,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
12,Ford Transit 148” WB High Roof 2021 Build,77000.0,"Tallahassee, Florida, United States",2020,Ford Transit,9750,2WD,Lien,Automatic,Gasoline,148.0,2,2,True,True,True,True,True,True,,,,,True,True,True,True,True,True,True,,,,True,,,,,,True,,,True,,,,,,,19.0,,,True,,,
13,Lifted Transit,32000.0,"Tacoma, Washington, United States",2015,"2015 Ford Transit, 3.7L with 61K miles",61000,2WD,Clean,Automatic,Gasoline,,2,2,,,True,True,True,,True,,,True,True,True,,True,,True,,,,,,,,,,,True,True,,,,True,,,,,,,,,,,
14,MERCEDES-BENZ SPRINTER 2500 CREW VAN HIGH ROOF 4X4 - Ready for Build! Tons of factory upgrades!,82500.0,"Chattanooga, Tennessee, United States",2020,MERCEDES-BENZ SPRINTER 2500 CREW VAN HIGH ROOF 4X4,6659,4WD,Clean,Automatic,Diesel,144.0,5,0,True,True,True,True,True,True,,,,,,,,,,True,,,,,,,,,,True,,,,True,,,,True,,,,,,,,,
15,"Huge van with a full size shower, full kitchen, queen+ size bed; everything you need to be off grid and fully sustainable!",68950.0,"Huntington Beach, California, United States",2014,2014 Mercedes Sprinter 170 extended,238000,2WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,,,,,,,True,True,,,,True,True,,True,
16,VAN FOR SALE!,119000.0,"Huntington Beach, California, Estados Unidos",2017,2017- 2500 MB sprinter van,52000,2WD,Clean,Automatic,Diesel,,2,4,,True,,,,,,,,,,True,True,True,,,,,,,,True,True,,,,,,,,True,,,,,True,,,,,,,
17,FULLY LOADED VW WESTFALIA *NEW Motor/Interior/Solar*,50000.0,"Irvine, California, United States",1982,1982 VOLKSWAGEN VANAGON L (WESTFALIA),3000,2WD,Clean,Manual (Stick Shift),Gasoline,,4,4,,,True,,,,,True,,,True,,True,True,True,True,True,,,,,True,,,,,True,,True,True,,,,,True,,,,,True,,,
18,2021 RAM Promaster 2500 (159wb),93500.0,"Bishop, California, United States",2021,Dodge Ram Promaster,2600,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,,,,True,True,True,,,,True,,True,,,,,,True,,17.0,,True,True,,,
19,very nicely equip camper,82500.0,"Atascadero, California 93422, United States",2018,Ram Promaster 3500 ext,33000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,,,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,,True,True,True,,,True,,True,,True,True,,True,,,,,,True,,,
20,"Full Beautiful Conversion Transit, High Roof Extended Length",64500.0,"Idyllwild-Pine Cove, California 92549, United States",2017,Ford Transit,61000,2WD,Clean,Automatic,Gasoline,148.0,2,2,True,,,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,,,,,,,,True,,,,,,,True,,,16.0,,True,True,,,
21,4x4 Hi Roof 144 WB Mercedes Sprinter,129900.0,"Bend, Oregon, United States",2015,Mercedes Sprinter,36500,AWD,Clean,Automatic,Diesel,,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,,True,True,,True,,,,,,,,,True,,,
22,Very Clean 2011 Mercedes Sprinter Van,29500.0,"31658 Pacific Coast Highway, Laguna Beach, California 92651, United States",2011,Mercedes Sprinter Van,171000,2WD,Clean,Automatic,Diesel,,12,2,True,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,21.0,,,,,,
23,NEW 2020 4x4 144 MERCEDES SPRINTER,130000.0,"New York, United States",2020,144 4x4 Sprinter,300,4WD,Clean,Automatic,Diesel,144.0,2,2,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,,,,,True,,True,16.0,,,True,,True,
24,2002 VW Eurovan Weekender Westfalia,27000.0,"Long Beach, California, United States",2002,VW Eurovan Weekender Westfalia,213000,2WD,Clean,Automatic,Gasoline,,7,4,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
25,2014/2021 Luxury Custom Build with Indoor shower,80000.0,"Edgewater, Chicago, Illinois 60660, United States",2014,Ram Promaster,165239,2WD,Lien,Automatic,Gasoline,59.0,2,2,True,,,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,,,True,,,,,,True,,True,,True,,,
