,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
202,2020 4x4 Mercedes Sprinter 144'' WB off-grid van w/ shower,120000.0,South,2020,Sprinter,6000.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Newer,3,Small,1,0,0,1,0,1,7,11,6
203,4x4 F550 Tiny House,115000.0,West,2007,Other,180000.0,4WD,Clean,Automatic,Diesel,18.009009,158.0,3,3,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,Midlife,2,Mid Size,2,1,0,0,0,1,6,11,5
204,2015 Mercedes - Benz Sprinter 2500 144WB,74000.0,West,2015,Sprinter,50000.0,2WD,Clean,Automatic,Diesel,22.0,144.0,2,2,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,4,10,5
205,4x4 Ford Transit 350 MR Quad Van,98600.0,West,2015,Transit,29860.0,4WD,Clean,Automatic,Diesel,19.571429,148.0,2,2,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Midlife,2,Small,1,1,0,0,0,1,4,6,6
206,2020 MB 4x4 170 WB Custom Conversion,130000.0,Northeast,2020,Sprinter,6000.0,4WD,Clean,Automatic,Diesel,19.571429,170.0,2,3,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,0,1,1,7,8,7
207,Home Away From Home 2021 Build 2019 Ford Transit,63500.0,Midwest,2019,Transit,30000.0,2WD,Clean,Automatic,Gasoline,19.571429,148.0,2,2,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,1,0,0,0,8,8,4
208,BEAUTIFULLY HANDCRAFTED YACHT ON WHEELS,112499.0,West,2019,Transit,16000.0,2WD,Clean,Automatic,Gasoline,19.571429,350.0,2,2,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,Newer,3,Big,3,1,0,0,0,0,0,7,0
209,Adventure Ready Mercedes-Benz Metris With SCA Camper Conversion!,56500.0,Midwest,2016,Other,52500.0,2WD,Clean,Automatic,Gasoline,16.0,131.0,8,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Newer,3,Small,1,0,1,0,0,0,4,6,3
210,2015 Toyota Sienna Camper Conversion by Oasis Campervans,38500.0,West,2015,Other,90000.0,2WD,Clean,Automatic,Gasoline,19.571429,131.0,2,2,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Midlife,2,Small,1,1,0,0,0,0,6,7,2
211,"Sad to say goodbye, but love to watch you leave",95000.0,West,2020,Promaster,6900.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,6,6,6
